"or","de","Time","acm_id","sch_id"
"90638","322+LUCAS+AVELOS+ANGELES+CA+90017",2797,112,31
"90638","322+LUCAS+AVELOS+ANGELES+CA+90017",2797,112,32
"90638","322+LUCAS+AVELOS+ANGELES+CA+90017",2797,112,33
"90041","147+E.+107th+Street+Los+Angeles+CA+90003",1890,114,1
"90041","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",2036,114,2
"90041","405+E+122nd+St+Los+Angeles+Ca+90061",2127,114,3
"90041","330+E.+93rd+St+Los+Angeles+CA+90003",1988,114,4
"90041","1575+W+2nd.+ST+Los+Angeles+CA+90026",1059,114,5
"90041","1575+W+2nd.+ST+Los+Angeles+CA+90026",1059,114,24
"90041","4410+McKinley+Ave+Los+Angeles+CA+90011",1699,114,6
"90041","3500+S.+Hill+St.+Los+Angeles+CA+90007",1488,114,8
"90041","1515+E.+104th+St.+Los+Angeles+CA+90002",2149,114,9
"90041","234+E+112TH+ST+LOS+ANGELES+CA+90061",1946,114,10
"90041","2510+E.+Sixth+St.+Los+Angeles+CA+90023",1117,114,11
"90041","1319+E+41st+St.+Los+Angeles+Ca+90011",1780,114,12
"90041","1319+E+41st+St.+Los+Angeles+Ca+90011",1780,114,19
"90041","650+S.+Union+Ave.+Los+Angeles+CA+90017",1250,114,13
"90041","2265+E.+103rd+St+Los+Angeles+CA+90002",2312,114,14
"90041","325+E+111th+St+Los+Angeles+CA+90061",1968,114,15
"90041","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",1565,114,16
"90041","1650+E.+104th+St.+Los+Angeles+CA+90002",2185,114,17
"90041","1200+Plaza+del+Sol+Los+Angeles+CA+90033",1092,114,18
"90041","4505+S.+Raymond+Ave.+Los+Angeles+CA+90037",1732,114,20
"90041","3201+W.+8th+St.+Los+Angeles+CA+90010",1542,114,21
"90041","1700+W+46TH+ST+Los+Angeles+CA+90062",1849,114,22
"90041","456+S+Mathews+St+Los+Angeles+CA+90033",1130,114,23
"90041","1921+S+Maple+Ave.+Los+Angeles+CA+90011",1402,114,25
"90041","725+S.+Indiana+St.+Los+Angeles+CA+90023",1302,114,26
"90041","152+N.+Vermont+Ave.+Los+Angeles+CA+90004",1214,114,27
"90041","144+E+118th+St+Los+Angeles+CA+90061",2001,114,28
"90041","1940+E+111TH+St.+LOS+ANGELES+CA+90059",2081,114,29
"90041","322+LUCAS+AVELOS+ANGELES+CA+90017",1028,114,30
"90041","322+LUCAS+AVELOS+ANGELES+CA+90017",1028,114,31
"90041","322+LUCAS+AVELOS+ANGELES+CA+90017",1028,114,32
"90041","322+LUCAS+AVELOS+ANGELES+CA+90017",1028,114,33
"91733","147+E.+107th+Street+Los+Angeles+CA+90003",2010,33,1
"91733","10915+S.+Mc+Kinley+Ave.+Los+Angeles+CA+90059",1893,33,2
"91733","405+E+122nd+St+Los+Angeles+Ca+90061",1882,33,3
"91733","330+E.+93rd+St+Los+Angeles+CA+90003",2087,33,4
"91733","1575+W+2nd.+ST+Los+Angeles+CA+90026",1784,33,5
"91733","1575+W+2nd.+ST+Los+Angeles+CA+90026",1784,33,24
"91733","4410+McKinley+Ave+Los+Angeles+CA+90011",1730,33,6
"91733","3500+S.+Hill+St.+Los+Angeles+CA+90007",1675,33,8
"91733","1515+E.+104th+St.+Los+Angeles+CA+90002",1847,33,9
"91733","234+E+112TH+ST+LOS+ANGELES+CA+90061",1921,33,10
"91733","2510+E.+Sixth+St.+Los+Angeles+CA+90023",988,33,11
"91733","1319+E+41st+St.+Los+Angeles+Ca+90011",1530,33,12
"91733","1319+E+41st+St.+Los+Angeles+Ca+90011",1530,33,19
"91733","650+S.+Union+Ave.+Los+Angeles+CA+90017",1944,33,13
"91733","2265+E.+103rd+St+Los+Angeles+CA+90002",1819,33,14
"91733","325+E+111th+St+Los+Angeles+CA+90061",1906,33,15
"91733","4131+S+Vermont+Ave+Los+Angeles+Ca+90037",1845,33,16
"91733","1650+E.+104th+St.+Los+Angeles+CA+90002",1813,33,17
